BookTitle,BookAuthor,Type,Condition,Remarks
Jurassic Park,"Crichton, Michael",Hardcover,Good,N/A
The Lost World,"Crichton, Michael",Hardcover,Good,N/A
Disclosure,"Crichton, Michael",Hardcover,Good,N/A
Presence,"Cuddy, Amy",Paperback,Like New,N/A
The Fire Within,"D'Lacey, Chris",Hardcover,Very Good,N/A
Icefire,"D'Lacey, Chris",Hardcover,Good,N/A
Fire Star,"D'Lacey, Chris",Hardcover,Very Good,N/A
The Fire Eternal,"D'Lacey, Chris",Hardcover,Very Good,N/A
Dark Fire,"D'Lacey, Chris",Hardcover,Very Good,N/A
Fire World,"D'Lacey, Chris",Hardcover,Good,N/A
The Fire Ascending ,"D'Lacey, Chris",Hardcover,Very Good,N/A
Rain & Fire,"D'Lacey, Chris",Hardcover,Very Good,N/A
Charlie and the Chocolate Factory & Charlie and the Great Glass Elevator,"Dahl, Roald",Hardcover,Good,N/A
The Compass Rose,"Dayton, Gail",Paperback,Good,N/A
Dancing Skeletons: Life and Death in West Africa,"Dettwyler, Katherine A. ",Kindle,N/A,N/A
The Red Tent,"Diamant, Anita",Paperback,Good,N/A
A Tale of Two Cities,"Dickens, Charles",Paperback,Good,N/A
Great Expectations,"Dickens, Charles",Paperback,Good,N/A
The Great Gatsby,"Fitzgerald, F. Scott",Paperback,Acceptable,N/A
The Bone Doll's Twin,"Flewelling, Lynne",Paperback,Good,N/A
Inkheart,"Funke, Cornelia",Paperback,Good,N/A
Inkspell,"Funke, Cornelia",Paperback,Poor,N/A
InkDeath,"Funke, Cornelia",Hardcover,Very Good,N/A
Neverwhere,"Gaiman, Neil",Paperback,Good,N/A
My Side of the Mountain,"George, Jean Craighead",Paperback,Acceptable,N/A
Star Wars: Dark Disciple,"Golden, Christie",Paperback,Like New,N/A
Star Wars: The High Republic: Into the Dark,"Gray, Claudia",Kindle,N/A,N/A
Star Wars: The High Republic: A Test of Courage,"Gray, Claudia",Kindle,N/A,N/A
Star Wars: Queen's Shadow,"Gray, Claudia",Kindle,N/A,N/A
Star Wars: Master and Apprentice,"Gray, Claudia",Kindle,N/A,N/A
A Brief History of Time,"Hawking, Stephen",Kindle,N/A,N/A
The Iliad,Homer,Paperback,Like New,N/A
A Thousand Splendid Suns,"Hosseini, Khaled",Kindle,N/A,N/A
The Hunchback of Notre Dame ,"Hugo, Victor",Kindle,N/A,N/A
Attack on Titan 1,"Isayama, Hajime",Paperback,Like New,N/A
Attack on Titan 2,"Isayama, Hajime",Paperback,Like New,N/A
Attack on Titan 3,"Isayama, Hajime",Paperback,Like New,N/A
On Call in Hell,"Jadick, Richard",Paperback,Good,N/A
Me,"John, Elton",Hardcover,Like New,N/A
Star Wars: Ahsoka,"Johnston, E.K.",Paperback,Like New,N/A
Star Wars: Queen's Peril,"Johnston, E.K.",Kindle,N/A,N/A
How to Be An Antiracist,"Kendi, Ibram X. ",Hardcover,Like New,N/A
It,"King, Stephen",Kindle,N/A,N/A
Erec Rex: The Dragons Eyes,"Kingsley, Kaza",Hardcover,Very Good,N/A
The House in the Cerulean Sea,"Klune, TJ",Paperback,New,N/A
Legends of the Dragonrealms,"Knaak, Richard A. ",Paperback,Like New,N/A
Dragon Champion,"Knight, E.M.",Paperback,Very Good,N/A
Dragon Avenger,"Knight, E.M.",Paperback,Very Good,N/A
Dragon Outcast,"Knight, E.M.",Paperback,Very Good,N/A
Dragon Strike,"Knight, E.M.",Paperback,Very Good,N/A
Dragon Rule,"Knight, E.M.",Paperback,Very Good,N/A
Dragon Fate,"Knight, E.M.",Paperback,Very Good,N/A
hackers,"Levy, Steven",Paperback,Like New,N/A
The Magicians Nephew,"Lewis, C.S.",Paperback,Very Good,N/A
